8.46292	0.243462	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.44818	0.251551	-0.210506	0.115552	8.44818	0.251553	8.45	0.25	-3.00027	0
8.52801	0.23998	0.000250861	-0.278834	8.56759	0.241943	8.45	0.25	0	0
8.50885	0.25542	-0.0275316	0.0214453	8.45582	0.253997	8.45	0.25	0	0
8.42095	0.254371	-1.82567	-0.0327276	8.42544	0.254042	8.35	0.25	-1.81979	0
8.30777	0.251382	-1.85671	-0.0385869	8.23962	0.24916	8.25	0.25	-1.81978	0
8.0682	0.242503	-3.7818	-0.111872	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.87585	0.182905	-3.78638	-0.378601	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.69369	0.162683	-3.22833	-0.376315	7.61269	0.155818	7.7	0.15	-2.99982	0
7.53288	0.154015	-3.22644	-0.328009	7.54016	0.159641	7.55	0.15	-2.99982	0
7.43871	0.134356	-1.91203	-0.322425	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.33511	0.0631791	-1.9055	-0.577836	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.18653	0.033489	-2.77742	-0.565801	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.03586	-0.0339767	-2.77032	-0.74107	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.9077	-0.0824715	-1.70665	-0.80384	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.8162	-0.212585	-1.70233	-1.21907	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.70487	-0.272134	-2.06927	-1.19961	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.60204	-0.413149	-2.08128	-1.59335	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.56263	-0.51459	-0.976537	-1.78275	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.51579	-0.630853	-0.975291	-1.91336	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.47105	-0.747019	-0.600944	-2.01857	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.42659	-0.979841	-0.677038	-2.60645	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
